Player, Debut, Age, Years, Games, Minutes, FG, FGA, FG3, FG3A, FT, FTA, ORB, TRB, AST, STL, BLK, TOV, PF, PTS, FG_PCT, FG3_PCT, FT_PCT, MP_PER_G, PTS_PER_G, TRB_PER_G, AST_PER_G
Arron Afflalo,Nov 1  '07  DET @ MIA,22,1,75,970,99,241,10,48,68,87,36,137,52,31,8,34,83,276,.411,.208,.782,12.9,3.7,1.8,0.7,
Blake Ahearn,Mar 21  '08  MIA vs. WAS,23,1,12,177,15,57,10,34,30,31,1,19,19,6,0,16,20,70,.263,.294,.968,14.8,5.8,1.6,1.6,
Lance Allred,Mar 17  '08  CLE @ ORL,26,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,,.500,3.3,1.0,0.3,0.0,
Morris Almond,Nov 7  '07  UTA vs. CLE,22,1,9,39,4,15,1,4,4,6,0,2,3,1,0,2,5,13,.267,.250,.667,4.3,1.4,0.2,0.3,
Joel Anthony,Nov 27  '07  MIA vs. CHA,25,1,24,498,28,60,0,0,29,49,38,93,3,9,31,17,55,85,.467,,.592,20.8,3.5,3.9,0.1,
Marco Belinelli,Oct 30  '07  GSW vs. UTA,21,1,33,241,36,93,16,41,7,9,3,14,15,5,0,12,15,95,.387,.390,.778,7.3,2.9,0.4,0.5,
Corey Brewer,Nov 2  '07  MIN vs. DEN,21,1,79,1803,182,486,7,36,88,110,82,292,111,76,25,89,188,459,.374,.194,.800,22.8,5.8,3.7,1.4,
Aaron Brooks,Nov 17  '07  HOU vs. PHO,23,1,51,608,93,225,36,109,42,49,13,56,87,13,5,44,69,264,.413,.330,.857,11.9,5.2,1.1,1.7,
Wilson Chandler,Nov 13  '07  NYK @ PHO,20,1,35,685,106,242,9,30,34,54,38,127,33,15,16,27,83,255,.438,.300,.630,19.6,7.3,3.6,0.9,
Mike Conley,Nov 7  '07  MEM @ SEA,20,1,53,1381,189,442,30,91,90,123,21,139,222,44,2,89,85,498,.428,.330,.732,26.1,9.4,2.6,4.2,
Daequan Cook,Nov 2  '07  MIA @ IND,20,1,59,1441,196,514,79,238,47,57,20,177,75,23,9,63,157,518,.381,.332,.825,24.4,8.8,3.0,1.3,
Javaris Crittenton,Nov 2  '07  LAL @ PHO,20,1,50,679,98,233,10,37,72,104,27,110,51,19,2,55,47,278,.421,.270,.692,13.6,5.6,2.2,1.0,
Jermareo Davidson,Nov 6  '07  CHA vs. PHO,23,1,38,322,51,125,0,0,18,28,21,62,13,7,15,17,46,120,.408,,.643,8.5,3.2,1.6,0.3,
Glen Davis,Nov 2  '07  BOS vs. WAS,22,1,69,940,107,221,0,0,99,150,95,208,28,31,20,65,160,313,.484,,.660,13.6,4.5,3.0,0.4,
Guillermo Díaz,Jan 15  '08  LAC vs. PHO,22,1,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,.250,.000,.600,3.0,0.8,0.3,0.2,
Jared Dudley,Nov 2  '07  CHA vs. MIL,22,1,73,1384,163,348,9,41,87,118,121,286,81,55,10,50,128,422,.468,.220,.737,19.0,5.8,3.9,1.1,
Kevin Durant,Oct 31  '07  SEA @ DEN,19,1,80,2768,587,1366,59,205,391,448,70,348,192,78,75,232,122,1624,.430,.288,.873,34.6,20.3,4.4,2.4,
Nick Fazekas,Nov 3  '07  DAL vs. SAC,22,1,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,.561,.000,.682,10.3,4.1,3.4,0.4,
Kyrylo Fesenko,Nov 30  '07  UTA vs. LAL,21,1,9,70,6,16,0,0,2,4,14,25,2,0,3,8,19,14,.375,,.500,7.8,1.6,2.8,0.2,
Thomas Gardner,Nov 15  '07  CHI @ PHO,22,1,4,45,9,23,3,12,0,2,3,4,1,0,0,4,4,21,.391,.250,.000,11.3,5.3,1.0,0.3,
Marcin Gortat,Mar 1  '08  ORL vs. NYK,23,1,6,41,8,17,0,0,2,3,8,16,2,1,1,2,4,18,.471,,.667,6.8,3.0,2.7,0.3,
Aaron Gray,Nov 2  '07  CHI vs. PHI,23,1,61,613,103,204,0,1,56,99,70,168,41,21,16,57,117,262,.505,.000,.566,10.0,4.3,2.8,0.7,
Jeff Green,Oct 31  '07  SEA @ DEN,21,1,80,2253,320,749,21,76,177,238,101,379,119,46,49,158,198,838,.427,.276,.744,28.2,10.5,4.7,1.5,
Taurean Green,Nov 2  '07  POR @ NOH,21,1,17,74,7,25,2,11,11,12,0,10,11,2,0,9,5,27,.280,.182,.917,4.4,1.6,0.6,0.6,
Mike Harris,Mar 10  '08  HOU vs. NJN,24,1,17,159,27,54,0,2,8,13,24,54,3,6,3,9,16,62,.500,.000,.615,9.4,3.6,3.2,0.2,
Spencer Hawes,Nov 10  '07  SAC vs. MIN,19,1,71,931,146,318,4,21,38,58,68,230,44,14,40,56,128,334,.459,.190,.655,13.1,4.7,3.2,0.6,
Al Horford,Nov 2  '07  ATL vs. DAL,21,1,81,2540,333,668,0,5,155,212,248,785,124,60,76,137,267,821,.499,.000,.731,31.4,10.1,9.7,1.5,
Yi Jianlian,Oct 31  '07  MIL @ ORL,20,1,66,1647,219,520,6,21,122,145,106,344,55,36,56,90,153,566,.421,.286,.841,25.0,8.6,5.2,0.8,
Coby Karl,Oct 30  '07  LAL vs. HOU,24,1,17,71,9,26,4,13,8,10,3,14,9,4,2,5,4,30,.346,.308,.800,4.2,1.8,0.8,0.5,
Carl Landry,Nov 24  '07  HOU vs. DEN,24,1,42,711,135,219,0,1,72,109,96,207,21,17,7,26,98,342,.616,.000,.661,16.9,8.1,4.9,0.5,
Keith Langford,Dec 28  '07  SAS vs. TOR,24,1,2,10,1,4,0,0,0,0,0,2,0,0,0,0,1,2,.250,,,5.0,1.0,1.0,0.0,
Stéphane Lasme,Nov 8  '07  GSW vs. DAL,25,1,16,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,.451,,.594,18.9,5.2,3.3,0.2,
Acie Law,Nov 2  '07  ATL vs. DAL,23,1,56,865,95,237,7,34,38,48,12,57,113,29,0,56,73,235,.401,.206,.792,15.4,4.2,1.0,2.0,
Ian Mahinmi,Oct 30  '07  SAS vs. POR,21,1,6,23,6,12,0,0,9,9,0,5,1,0,4,2,4,21,.500,,1.000,3.8,3.5,0.8,0.2,
Dominic McGuire,Oct 31  '07  WAS @ IND,22,1,70,695,39,103,1,6,14,32,53,139,40,20,26,40,76,93,.379,.167,.438,9.9,1.3,2.0,0.6,
Josh McRoberts,Nov 19  '07  POR @ CHA,20,1,8,28,6,10,0,1,0,0,2,10,2,1,0,2,1,12,.600,.000,,3.5,1.5,1.3,0.3,
Jamario Moon,Nov 6  '07  TOR @ MIL,27,1,78,2166,279,575,40,122,63,85,92,484,90,80,108,51,152,661,.485,.328,.741,27.8,8.5,6.2,1.2,
Juan Carlos Navarro,Oct 31  '07  MEM vs. SAS,27,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,.402,.361,.849,25.8,10.9,2.6,2.2,
Demetris Nichols,Nov 28  '07  CLE @ DET,23,1,14,44,6,23,3,13,0,0,0,5,1,0,3,4,4,15,.261,.231,,3.1,1.1,0.4,0.1,
Joakim Noah,Nov 6  '07  CHI vs. LAC,22,1,74,1534,177,367,0,1,134,194,174,416,84,68,64,89,173,488,.482,.000,.691,20.7,6.6,5.6,1.1,
Oleksiy Pecherov,Jan 11  '08  WAS @ ATL,22,1,35,320,44,125,17,60,20,31,21,66,7,6,5,17,30,125,.352,.283,.645,9.1,3.6,1.9,0.2,
Kosta Perović,Jan 19  '08  GSW @ MIL,22,1,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,.300,,.667,5.4,1.4,1.9,0.1,
Kasib Powell,Mar 22  '08  MIA @ CHA,26,1,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,.368,.242,.667,27.6,7.6,4.0,1.6,
Gabe Pruitt,Nov 9  '07  BOS vs. ATL,21,1,15,95,14,39,3,12,1,2,1,8,13,5,0,5,10,32,.359,.250,.500,6.3,2.1,0.5,0.9,
Chris Richard,Nov 6  '07  MIN vs. ORL,23,1,52,556,41,87,0,0,16,27,52,135,18,10,12,24,83,98,.471,,.593,10.7,1.9,2.6,0.3,
Cheikh Samb,Nov 16  '07  DET @ LAL,23,1,4,31,3,4,0,0,1,2,3,7,0,1,2,1,8,7,.750,,.500,7.8,1.8,1.8,0.0,
Luis Scola,Oct 30  '07  HOU @ LAL,27,1,82,2024,345,670,0,3,157,235,174,525,106,60,19,105,235,847,.515,.000,.668,24.7,10.3,6.4,1.3,
Ramon Sessions,Mar 9  '08  MIL vs. PHI,21,1,17,450,51,117,3,7,32,41,8,58,127,17,3,36,26,137,.436,.429,.780,26.5,8.1,3.4,7.5,
Courtney Sims,Oct 31  '07  IND vs. WAS,24,1,3,11,0,1,0,0,0,0,1,2,1,0,0,0,2,0,.000,,,3.7,0.0,0.7,0.3,
Jason Smith,Oct 31  '07  PHI @ TOR,21,1,76,1107,141,310,4,14,54,82,77,230,20,22,50,48,142,340,.455,.286,.659,14.6,4.5,3.0,0.3,
D.J. Strawberry,Nov 2  '07  PHO vs. LAL,22,1,33,270,29,92,6,25,9,19,9,28,30,12,6,11,36,73,.315,.240,.474,8.2,2.2,0.8,0.9,
Rodney Stuckey,Dec 21  '07  DET vs. MEM,21,1,57,1081,153,382,3,16,127,156,32,129,160,49,6,78,113,436,.401,.188,.814,19.0,7.6,2.3,2.8,
Al Thornton,Nov 2  '07  LAC vs. GSW,24,1,79,2158,374,871,43,130,214,288,98,358,98,46,43,128,195,1005,.429,.331,.743,27.3,12.7,4.5,1.2,
Alando Tucker,Nov 6  '07  PHO @ CHA,23,1,6,48,8,22,1,4,5,6,4,8,0,0,1,0,2,22,.364,.250,.833,8.0,3.7,1.3,0.0,
Darius Washington,Oct 30  '07  SAS vs. POR,22,1,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,.438,.333,.538,8.1,2.9,1.1,0.8,
Darryl Watkins,Oct 31  '07  SAC @ NOH,23,1,9,71,5,15,0,0,2,5,5,12,0,2,2,7,8,12,.333,,.400,7.9,1.3,1.3,0.0,
C.J. Watson,Jan 9  '08  GSW @ POR,23,1,32,368,43,101,9,26,23,29,13,32,35,15,0,18,19,118,.426,.346,.793,11.5,3.7,1.0,1.1,
Mario West,Nov 2  '07  ATL vs. DAL,23,1,64,269,21,49,0,4,17,26,26,48,13,12,4,9,61,59,.429,.000,.654,4.2,0.9,0.8,0.2,
Marcus Williams,Dec 26  '07  SAS vs. CHI,21,1,11,36,5,20,0,0,0,0,4,12,3,1,1,0,3,10,.250,,,3.3,0.9,1.1,0.3,
Sean Williams,Nov 2  '07  NJN vs. TOR,21,1,73,1278,164,305,0,0,81,133,115,322,28,28,106,70,193,409,.538,,.609,17.5,5.6,4.4,0.4,
Brandan Wright,Nov 6  '07  GSW vs. CLE,20,1,38,376,62,112,0,0,27,40,38,99,9,6,22,13,36,151,.554,,.675,9.9,4.0,2.6,0.2,
Julian Wright,Nov 2  '07  NOH vs. POR,20,1,57,640,90,169,10,24,33,52,33,117,40,29,12,34,43,223,.533,.417,.635,11.2,3.9,2.1,0.7,
Nick Young,Oct 31  '07  WAS @ IND,22,1,75,1158,210,478,40,100,101,124,23,115,63,35,7,94,130,561,.439,.400,.815,15.4,7.5,1.5,0.8,
Thaddeus Young,Nov 7  '07  PHI vs. CHA,19,1,74,1554,264,490,6,19,76,103,120,312,58,73,8,64,126,610,.539,.316,.738,21.0,8.2,4.2,0.8,
